epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5658,3.8698,3.69082,4.03415,0.03733,0.01691,0.007,0.00165,3.89155,4.05631,4.61359,0.0033179,0.0033179,0.0033179
2,99.4449,2.94758,2.8161,2.96536,0.22217,0.08333,0.05612,0.01858,2.7032,2.48673,2.70616,0.00658539,0.00658539,0.00658539
3,144.012,2.50787,2.34003,2.28084,0.31609,0.19614,0.14281,0.05227,2.24818,1.83593,1.94583,0.00978687,0.00978687,0.00978687
4,192.621,2.2758,2.10479,1.99226,0.49526,0.2471,0.23994,0.11266,2.09048,1.62048,1.70945,0.009703,0.009703,0.009703
5,234.348,2.10003,1.93792,1.83597,0.57444,0.28188,0.28803,0.13757,1.96612,1.45765,1.64704,0.009604,0.009604,0.009604
6,280.21,2.00405,1.8234,1.7513,0.68406,0.28868,0.31839,0.16057,1.75088,1.21657,1.51073,0.009505,0.009505,0.009505
7,324.918,1.97201,1.7601,1.70666,0.58128,0.29686,0.30404,0.14651,1.70615,1.26362,1.4737,0.009406,0.009406,0.009406
8,369.936,1.90945,1.71106,1.68215,0.64684,0.32681,0.34789,0.17624,1.64453,1.12007,1.432,0.009307,0.009307,0.009307
9,415.849,1.85373,1.63197,1.63152,0.62323,0.30314,0.31853,0.15479,1.72798,1.362,1.43775,0.009208,0.009208,0.009208
10,461.676,1.81943,1.61431,1.61524,0.73133,0.32585,0.36414,0.18851,1.56167,1.0643,1.35407,0.009109,0.009109,0.009109
11,507.384,1.81289,1.57218,1.58213,0.6787,0.33333,0.36767,0.1853,1.54427,1.04872,1.36524,0.00901,0.00901,0.00901
12,552.77,1.78145,1.54206,1.57945,0.70686,0.33647,0.37523,0.19983,1.44127,1.01884,1.30153,0.008911,0.008911,0.008911
13,597.826,1.75298,1.51639,1.55213,0.71836,0.33164,0.37645,0.18957,1.53708,1.01698,1.35161,0.008812,0.008812,0.008812
14,642.386,1.73778,1.49114,1.54541,0.70433,0.35386,0.38705,0.20525,1.51184,0.98442,1.31459,0.008713,0.008713,0.008713
