epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11808,1.4303,0.81335,1.1381,0.89492,0.74641,0.77831,0.45905,1.3537,0.64568,1.08956,0.005842,0.005842,0.005842
44,12007.4,1.43317,0.8136,1.13606,0.89354,0.74748,0.77903,0.45981,1.35188,0.64386,1.08879,0.005743,0.005743,0.005743
45,12181.6,1.43083,0.81274,1.13445,0.89386,0.74702,0.77948,0.46127,1.35139,0.64395,1.08807,0.005644,0.005644,0.005644
46,12361.5,1.43203,0.80795,1.13133,0.89609,0.74605,0.77951,0.46092,1.3509,0.64349,1.08764,0.005545,0.005545,0.005545
47,12517.2,1.41985,0.80336,1.1324,0.88941,0.74896,0.78013,0.46079,1.35005,0.64284,1.08725,0.005446,0.005446,0.005446
48,12757.8,1.42699,0.80435,1.13316,0.88905,0.7496,0.78063,0.4614,1.34939,0.64118,1.08699,0.005347,0.005347,0.005347
49,12952.5,1.41427,0.79928,1.13096,0.88962,0.74985,0.78096,0.46128,1.34902,0.64042,1.08689,0.005248,0.005248,0.005248
50,13175.5,1.41852,0.7966,1.13061,0.89092,0.74968,0.78115,0.46202,1.34834,0.63965,1.08679,0.005149,0.005149,0.005149
51,13399.9,1.41498,0.79434,1.13264,0.89121,0.74954,0.78136,0.46185,1.34776,0.63855,1.08666,0.00505,0.00505,0.00505
52,13691.1,1.41201,0.79613,1.13276,0.89407,0.74858,0.78153,0.46182,1.34697,0.638,1.0862,0.004951,0.004951,0.004951
53,13879.6,1.40784,0.79203,1.12774,0.89369,0.74878,0.78185,0.46217,1.34621,0.6372,1.08586,0.004852,0.004852,0.004852
54,14335.2,1.40863,0.78659,1.12435,0.89363,0.74911,0.78194,0.46179,1.34577,0.63648,1.08561,0.004753,0.004753,0.004753
55,14503.4,1.40392,0.79112,1.12438,0.89387,0.7494,0.7822,0.46275,1.34508,0.63551,1.08519,0.004654,0.004654,0.004654
56,14696.9,1.41084,0.78781,1.12077,0.89162,0.75057,0.78246,0.4627,1.34436,0.63485,1.08473,0.004555,0.004555,0.004555
57,14904.6,1.39757,0.77713,1.11863,0.89212,0.7505,0.78271,0.4639,1.34384,0.63441,1.08446,0.004456,0.004456,0.004456
58,15144.1,1.39896,0.78032,1.12005,0.89184,0.75071,0.78288,0.46349,1.34316,0.63364,1.08403,0.004357,0.004357,0.004357
59,15383.4,1.39161,0.77525,1.11927,0.89127,0.75125,0.78316,0.46332,1.34264,0.63286,1.08371,0.004258,0.004258,0.004258
60,15620.9,1.38845,0.77127,1.11779,0.89235,0.75075,0.78321,0.46353,1.34225,0.63228,1.08344,0.004159,0.004159,0.004159
61,15840.4,1.39347,0.77206,1.11859,0.89314,0.75058,0.78336,0.46356,1.34169,0.63171,1.08313,0.00406,0.00406,0.00406
62,16381.7,1.39402,0.77491,1.12055,0.89402,0.7503,0.78339,0.46359,1.34096,0.63091,1.08274,0.003961,0.003961,0.003961
63,16593.2,1.38514,0.76363,1.11549,0.89436,0.75026,0.78343,0.464,1.34061,0.63023,1.08253,0.003862,0.003862,0.003862
64,16808.5,1.3722,0.76057,1.11151,0.89568,0.74978,0.78335,0.46444,1.34017,0.62976,1.08221,0.003763,0.003763,0.003763
65,17196.8,1.38394,0.7616,1.11224,0.89562,0.7501,0.78347,0.4646,1.3395,0.62918,1.08198,0.003664,0.003664,0.003664
66,17421.9,1.38302,0.76341,1.11224,0.89558,0.75028,0.78371,0.46492,1.3391,0.62866,1.08165,0.003565,0.003565,0.003565
67,17650.8,1.37417,0.75472,1.1084,0.89568,0.75025,0.78375,0.46471,1.33869,0.62785,1.08144,0.003466,0.003466,0.003466
68,17901.2,1.37288,0.75401,1.10831,0.89565,0.7504,0.78395,0.46505,1.33815,0.62717,1.08117,0.003367,0.003367,0.003367
69,18118,1.37443,0.75401,1.10564,0.89475,0.75099,0.78415,0.46503,1.33776,0.62639,1.08103,0.003268,0.003268,0.003268
70,18324.3,1.37823,0.75336,1.10614,0.89474,0.75109,0.78414,0.46562,1.33741,0.62585,1.08082,0.003169,0.003169,0.003169
71,18537.3,1.36362,0.74816,1.11195,0.89571,0.75108,0.78449,0.46606,1.33723,0.62518,1.08064,0.00307,0.00307,0.00307
72,18686.6,1.36895,0.74529,1.10397,0.89569,0.75139,0.78483,0.46604,1.33682,0.62448,1.08041,0.002971,0.002971,0.002971
73,18847.8,1.3699,0.74593,1.10761,0.89501,0.75162,0.78481,0.46672,1.33642,0.62379,1.08019,0.002872,0.002872,0.002872
74,19030.9,1.35013,0.73612,1.10447,0.89613,0.75134,0.78502,0.46629,1.33601,0.62317,1.08001,0.002773,0.002773,0.002773
75,19385.3,1.36829,0.7436,1.10641,0.89584,0.75161,0.78508,0.46653,1.33566,0.62259,1.07981,0.002674,0.002674,0.002674
76,19608.1,1.36551,0.74099,1.10248,0.89582,0.7519,0.78533,0.46711,1.33527,0.62206,1.07958,0.002575,0.002575,0.002575
77,20138.4,1.35651,0.73492,1.10072,0.89558,0.7522,0.78547,0.46686,1.33477,0.62152,1.07929,0.002476,0.002476,0.002476
78,20425.9,1.35236,0.73394,1.09876,0.89605,0.75223,0.78564,0.46699,1.33458,0.62099,1.07905,0.002377,0.002377,0.002377
79,20596.4,1.3569,0.73485,1.09605,0.89517,0.75275,0.78592,0.46709,1.33405,0.62053,1.07876,0.002278,0.002278,0.002278
80,20851,1.34783,0.72395,1.09771,0.89571,0.75256,0.78604,0.46783,1.33358,0.61992,1.07854,0.002179,0.002179,0.002179
81,21013.5,1.34954,0.72662,1.09678,0.89515,0.75286,0.7861,0.46794,1.33314,0.61946,1.07832,0.00208,0.00208,0.00208
82,21192.8,1.34786,0.72454,1.09629,0.89552,0.75285,0.78613,0.46785,1.33277,0.61886,1.07803,0.001981,0.001981,0.001981
83,21336.1,1.34052,0.72314,1.09642,0.89599,0.75311,0.78662,0.46801,1.33255,0.61848,1.07791,0.001882,0.001882,0.001882
84,21528.2,1.34648,0.72376,1.09482,0.89571,0.75318,0.78656,0.46854,1.33205,0.6178,1.07765,0.001783,0.001783,0.001783
85,21693.2,1.3386,0.71649,1.08749,0.89551,0.75342,0.7868,0.46891,1.33151,0.6173,1.07734,0.001684,0.001684,0.001684
86,21930,1.34143,0.71796,1.09227,0.89552,0.75351,0.78697,0.46913,1.33095,0.61648,1.07704,0.001585,0.001585,0.001585
87,22099.4,1.33204,0.711,1.08703,0.89494,0.75381,0.78704,0.46982,1.33065,0.61594,1.07677,0.001486,0.001486,0.001486
88,22248,1.33639,0.71514,1.09161,0.89581,0.7535,0.78709,0.46984,1.33019,0.61523,1.07654,0.001387,0.001387,0.001387
89,22434.2,1.32715,0.70621,1.08805,0.89668,0.75359,0.78738,0.47005,1.32975,0.61452,1.07628,0.001288,0.001288,0.001288
90,22593.9,1.33116,0.70861,1.0871,0.89685,0.75339,0.78749,0.47028,1.32955,0.61395,1.07604,0.001189,0.001189,0.001189
91,22806.6,1.30699,0.66086,1.08727,0.89669,0.75362,0.78771,0.47056,1.32897,0.61349,1.07572,0.00109,0.00109,0.00109
92,23009.4,1.29814,0.65039,1.08207,0.89778,0.75326,0.78794,0.47111,1.32843,0.61285,1.07535,0.000991,0.000991,0.000991
93,23245.9,1.2899,0.64524,1.08128,0.89798,0.75322,0.78806,0.47102,1.32777,0.61206,1.07497,0.000892,0.000892,0.000892
94,23641.2,1.28718,0.64097,1.07709,0.89926,0.75275,0.78814,0.47145,1.32723,0.61125,1.07454,0.000793,0.000793,0.000793
95,23879.5,1.27988,0.63493,1.07527,0.90023,0.75274,0.78835,0.47207,1.32669,0.61044,1.07418,0.000694,0.000694,0.000694
96,24056,1.28293,0.63567,1.07591,0.90112,0.75259,0.78853,0.47258,1.32616,0.6098,1.07386,0.000595,0.000595,0.000595
97,24839.8,1.27594,0.6319,1.07307,0.90176,0.75242,0.78862,0.47263,1.32567,0.60901,1.07356,0.000496,0.000496,0.000496
98,26033.2,1.27062,0.6228,1.07134,0.90164,0.75246,0.78869,0.47297,1.32513,0.60832,1.07319,0.000397,0.000397,0.000397
99,26218.6,1.27195,0.62613,1.07015,0.90129,0.75275,0.78878,0.47348,1.32465,0.60764,1.07285,0.000298,0.000298,0.000298
100,29274.2,1.26818,0.62373,1.07069,0.90134,0.75284,0.78884,0.47372,1.32411,0.60705,1.07248,0.000199,0.000199,0.000199
