epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.295,1.62682,0.79282,1.64898,0.78762,0.44059,0.49252,0.27452,1.37746,0.65574,1.25688,0.000663317,0.000663317,0.000663317
2,180.212,1.3518,0.74376,1.31793,0.76796,0.42589,0.46721,0.2485,1.39413,0.67611,1.32059,0.00131682,0.00131682,0.00131682
3,238.47,1.34604,0.76678,1.30933,0.77579,0.42516,0.47442,0.25942,1.35384,0.68843,1.2208,0.00195712,0.00195712,0.00195712
4,284.853,1.33133,0.81736,1.29931,0.75208,0.4283,0.46846,0.24762,1.41295,0.87068,1.3257,0.0019406,0.0019406,0.0019406
5,330.376,1.2798,0.803,1.2611,0.74289,0.42155,0.46062,0.24987,1.3448,0.74321,1.21958,0.0019208,0.0019208,0.0019208
6,382.736,1.2924,0.82197,1.2499,0.7531,0.43374,0.47276,0.25965,1.30955,0.80567,1.26271,0.001901,0.001901,0.001901
7,428.051,1.25336,0.80861,1.23074,0.74945,0.43762,0.4778,0.26214,1.26739,0.71579,1.18637,0.0018812,0.0018812,0.0018812
8,473.088,1.24371,0.81263,1.22953,0.73714,0.4295,0.4655,0.25602,1.24584,0.73411,1.18718,0.0018614,0.0018614,0.0018614
9,527.205,1.2274,0.79578,1.21292,0.73944,0.42299,0.45051,0.24904,1.2493,0.752,1.18044,0.0018416,0.0018416,0.0018416
10,572.542,1.21986,0.79976,1.20802,0.76645,0.42179,0.47139,0.26039,1.23437,0.72183,1.15846,0.0018218,0.0018218,0.0018218
11,612.84,1.19866,0.78722,1.19993,0.76034,0.42468,0.46688,0.26047,1.25794,0.74875,1.20971,0.001802,0.001802,0.001802
