epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1646,1.3604,0.9256,1.19406,0.8066,0.41313,0.4684,0.26118,1.26653,0.67844,1.17749,0.000662069,0.000662069,0.000662069
2,230.041,1.39309,0.84389,1.22839,0.76585,0.41649,0.45945,0.25942,1.27473,0.71641,1.16647,0.00131558,0.00131558,0.00131558
3,267.083,1.42826,0.8483,1.225,0.77326,0.38853,0.4354,0.23304,1.42259,0.78544,1.26677,0.00195589,0.00195589,0.00195589
4,303.548,1.45595,0.88253,1.25858,0.7786,0.37768,0.43416,0.23953,1.45757,0.79958,1.34086,0.0019406,0.0019406,0.0019406
5,339.855,1.43683,0.86106,1.24412,0.80425,0.38025,0.42644,0.24434,1.3519,0.73597,1.20956,0.0019208,0.0019208,0.0019208
6,378.037,1.43577,0.85317,1.24249,0.79033,0.39455,0.43862,0.24044,1.37378,0.74169,1.2243,0.001901,0.001901,0.001901
7,413.833,1.45373,0.86978,1.23144,0.76704,0.39672,0.4315,0.24692,1.27878,0.75226,1.18805,0.0018812,0.0018812,0.0018812
8,446.356,1.39963,0.82292,1.2356,0.74461,0.42093,0.46462,0.25815,1.30452,0.70368,1.19522,0.0018614,0.0018614,0.0018614
9,481.582,1.40313,0.82659,1.22655,0.78339,0.41215,0.46068,0.25847,1.26656,0.70755,1.1821,0.0018416,0.0018416,0.0018416
10,524.128,1.38867,0.83099,1.21939,0.76318,0.40564,0.4526,0.2556,1.28675,0.71193,1.18118,0.0018218,0.0018218,0.0018218
11,560.59,1.40023,0.81794,1.20792,0.81121,0.40251,0.45211,0.25938,1.29623,0.70684,1.19364,0.001802,0.001802,0.001802
12,595.982,1.3743,0.81107,1.21434,0.78764,0.41031,0.46676,0.26753,1.25349,0.66774,1.15301,0.0017822,0.0017822,0.0017822
13,631.869,1.37257,0.79614,1.20963,0.78206,0.40926,0.4556,0.2554,1.34726,0.73129,1.23471,0.0017624,0.0017624,0.0017624
14,667.319,1.36074,0.79224,1.19082,0.77407,0.42527,0.47508,0.26877,1.2742,0.67335,1.18271,0.0017426,0.0017426,0.0017426
15,703.319,1.3395,0.78337,1.18959,0.79156,0.40274,0.46184,0.26531,1.26162,0.67101,1.16566,0.0017228,0.0017228,0.0017228
16,738.907,1.36951,0.79352,1.18602,0.77687,0.42733,0.47901,0.27195,1.29036,0.67874,1.19977,0.001703,0.001703,0.001703
17,773.908,1.32082,0.7702,1.18463,0.78616,0.41817,0.47093,0.26673,1.26137,0.67303,1.16144,0.0016832,0.0016832,0.0016832
18,810.83,1.3358,0.77121,1.18664,0.78847,0.43095,0.48057,0.27457,1.21912,0.64421,1.13398,0.0016634,0.0016634,0.0016634
19,846.081,1.34232,0.79281,1.19106,0.79362,0.41866,0.4768,0.27266,1.25671,0.65034,1.14811,0.0016436,0.0016436,0.0016436
20,881.754,1.34263,0.78011,1.17967,0.81168,0.42107,0.47438,0.26955,1.2551,0.659,1.1466,0.0016238,0.0016238,0.0016238
21,917.817,1.32439,0.76785,1.17952,0.8033,0.4295,0.48534,0.27268,1.25244,0.65372,1.15211,0.001604,0.001604,0.001604
22,954.091,1.33733,0.77645,1.19764,0.79379,0.42308,0.4799,0.2746,1.23486,0.63984,1.14292,0.0015842,0.0015842,0.0015842
23,990.74,1.33127,0.75886,1.16949,0.78427,0.43432,0.48337,0.27808,1.20959,0.63075,1.13715,0.0015644,0.0015644,0.0015644
24,1026.62,1.32182,0.77027,1.17557,0.79229,0.43393,0.48394,0.27757,1.21636,0.63238,1.13088,0.0015446,0.0015446,0.0015446
25,1062.4,1.32099,0.75367,1.17058,0.79426,0.42444,0.47791,0.27188,1.19308,0.63417,1.11935,0.0015248,0.0015248,0.0015248
26,1098.63,1.32906,0.75909,1.16712,0.7843,0.42878,0.48723,0.28019,1.20588,0.62335,1.13163,0.001505,0.001505,0.001505
27,1134.19,1.31468,0.74918,1.1612,0.78044,0.43239,0.4785,0.27484,1.22537,0.65295,1.14029,0.0014852,0.0014852,0.0014852
28,1169.82,1.31584,0.77145,1.17775,0.79281,0.42878,0.48122,0.28044,1.17033,0.63239,1.11946,0.0014654,0.0014654,0.0014654
29,1205.72,1.30965,0.74113,1.16231,0.77927,0.43822,0.48769,0.28472,1.1687,0.61566,1.10358,0.0014456,0.0014456,0.0014456
30,1233.73,1.29584,0.73982,1.16318,0.78005,0.4368,0.48833,0.28238,1.20114,0.61422,1.12213,0.0014258,0.0014258,0.0014258
31,1269.55,1.32558,0.75448,1.16757,0.77568,0.43256,0.48527,0.28158,1.18129,0.61964,1.12233,0.001406,0.001406,0.001406
32,1304.67,1.29474,0.73289,1.15337,0.81032,0.43095,0.48289,0.2812,1.21661,0.61782,1.12006,0.0013862,0.0013862,0.0013862
33,1339.88,1.29069,0.73073,1.15109,0.78016,0.43622,0.48875,0.28316,1.19695,0.60038,1.11753,0.0013664,0.0013664,0.0013664
34,1375.17,1.31488,0.74215,1.15538,0.79361,0.43373,0.48752,0.28188,1.19655,0.61045,1.12628,0.0013466,0.0013466,0.0013466
35,1409.44,1.30518,0.73645,1.15127,0.80694,0.43842,0.4921,0.28743,1.17348,0.59964,1.10608,0.0013268,0.0013268,0.0013268
36,1445.19,1.28977,0.73171,1.14272,0.7841,0.44276,0.48783,0.28272,1.17807,0.60743,1.11258,0.001307,0.001307,0.001307
37,1480.81,1.28531,0.72682,1.14272,0.79787,0.44782,0.49625,0.28988,1.16824,0.58562,1.10875,0.0012872,0.0012872,0.0012872
38,1515.61,1.26359,0.7096,1.16547,0.76701,0.44513,0.49008,0.28323,1.16935,0.59492,1.10977,0.0012674,0.0012674,0.0012674
39,1551.77,1.27635,0.71548,1.13505,0.76065,0.44613,0.49091,0.28318,1.16462,0.59899,1.10265,0.0012476,0.0012476,0.0012476
40,1587.83,1.27602,0.71596,1.14266,0.80195,0.43288,0.48854,0.28059,1.19319,0.6053,1.11221,0.0012278,0.0012278,0.0012278
41,1622.94,1.26048,0.71268,1.13206,0.77129,0.44396,0.49366,0.2858,1.17836,0.58702,1.11359,0.001208,0.001208,0.001208
42,1658.51,1.26261,0.70481,1.13463,0.80394,0.44493,0.49774,0.29092,1.15929,0.57957,1.09781,0.0011882,0.0011882,0.0011882
43,1693.15,1.26037,0.71049,1.13194,0.80667,0.43444,0.49486,0.29103,1.16747,0.57914,1.09906,0.0011684,0.0011684,0.0011684
44,1730.39,1.2542,0.70493,1.13881,0.82521,0.43504,0.50117,0.29796,1.12811,0.57187,1.08173,0.0011486,0.0011486,0.0011486
45,1767.17,1.22973,0.68274,1.13279,0.79474,0.44515,0.4986,0.29175,1.13943,0.58238,1.09218,0.0011288,0.0011288,0.0011288
46,1803.99,1.22833,0.70746,1.11959,0.81557,0.44552,0.50104,0.2915,1.16695,0.57674,1.09916,0.001109,0.001109,0.001109
47,1836.04,1.23043,0.67932,1.12172,0.80468,0.43689,0.49677,0.29179,1.13835,0.58002,1.09088,0.0010892,0.0010892,0.0010892
48,1875.02,1.24428,0.69507,1.12161,0.8037,0.43432,0.49347,0.29132,1.13658,0.56675,1.08778,0.0010694,0.0010694,0.0010694
49,1910.98,1.24185,0.72285,1.13191,0.7902,0.44209,0.49565,0.29149,1.14385,0.56938,1.09359,0.0010496,0.0010496,0.0010496
50,1948.41,1.2506,0.69457,1.12891,0.82034,0.43456,0.49802,0.29078,1.14589,0.57499,1.08985,0.0010298,0.0010298,0.0010298
51,1983.82,1.24893,0.69292,1.12497,0.82174,0.43432,0.49757,0.29025,1.16706,0.57433,1.10096,0.00101,0.00101,0.00101
52,2029.1,1.23291,0.68444,1.12135,0.7856,0.44541,0.49715,0.29076,1.16919,0.58124,1.09993,0.0009902,0.0009902,0.0009902
53,2065.18,1.23284,0.6795,1.11708,0.80828,0.44131,0.50318,0.29269,1.15331,0.56552,1.10352,0.0009704,0.0009704,0.0009704
54,2101.45,1.23379,0.67636,1.11328,0.81921,0.43866,0.49962,0.29353,1.1402,0.5705,1.09054,0.0009506,0.0009506,0.0009506
55,2138.13,1.22332,0.67803,1.11741,0.7893,0.44565,0.49921,0.29504,1.154,0.56973,1.09947,0.0009308,0.0009308,0.0009308
56,2169.34,1.21171,0.66813,1.10958,0.80373,0.44811,0.50473,0.29819,1.12999,0.55888,1.08561,0.000911,0.000911,0.000911
57,2214.94,1.19718,0.66062,1.11736,0.79582,0.44905,0.50261,0.29377,1.14093,0.56412,1.09954,0.0008912,0.0008912,0.0008912
58,2251.18,1.21764,0.67058,1.11166,0.78439,0.45216,0.50101,0.29296,1.12496,0.55903,1.08481,0.0008714,0.0008714,0.0008714
59,2288.47,1.22677,0.68002,1.11238,0.82526,0.43577,0.49842,0.29389,1.1392,0.56346,1.09086,0.0008516,0.0008516,0.0008516
60,2325.02,1.18709,0.65607,1.11123,0.81143,0.44372,0.50384,0.29646,1.14937,0.56392,1.09225,0.0008318,0.0008318,0.0008318
61,2355.27,1.19534,0.65346,1.10426,0.80572,0.44902,0.50795,0.29939,1.14547,0.56242,1.0905,0.000812,0.000812,0.000812
62,2391.43,1.21468,0.6583,1.09762,0.78101,0.45042,0.50358,0.29699,1.14466,0.5589,1.08831,0.0007922,0.0007922,0.0007922
63,2427.86,1.20827,0.66035,1.10679,0.78948,0.44951,0.505,0.29498,1.13836,0.56609,1.08883,0.0007724,0.0007724,0.0007724
64,2464.14,1.18682,0.64508,1.10117,0.79294,0.45042,0.50721,0.29778,1.1415,0.55617,1.08791,0.0007526,0.0007526,0.0007526
65,2500.27,1.19617,0.65378,1.09994,0.79469,0.4471,0.50412,0.29566,1.14032,0.55783,1.09202,0.0007328,0.0007328,0.0007328
66,2536.2,1.17853,0.64678,1.09317,0.80764,0.45071,0.50455,0.29671,1.13916,0.55386,1.09075,0.000713,0.000713,0.000713
67,2572.73,1.2202,0.67323,1.11627,0.80131,0.4471,0.50343,0.2979,1.14073,0.55614,1.08228,0.0006932,0.0006932,0.0006932
68,2609.79,1.19189,0.6517,1.09354,0.80304,0.45433,0.50575,0.29485,1.1457,0.56064,1.09052,0.0006734,0.0006734,0.0006734
69,2646.29,1.16989,0.64192,1.09158,0.80405,0.44702,0.50022,0.29339,1.14338,0.56167,1.09057,0.0006536,0.0006536,0.0006536
70,2683.63,1.20436,0.65422,1.10124,0.79352,0.45573,0.50766,0.29978,1.12571,0.5496,1.08606,0.0006338,0.0006338,0.0006338
71,2720.63,1.18209,0.66709,1.10002,0.78106,0.45674,0.50454,0.29779,1.12928,0.56027,1.08521,0.000614,0.000614,0.000614
72,2757.04,1.19076,0.65558,1.09696,0.78903,0.45341,0.50642,0.29766,1.13347,0.55895,1.09245,0.0005942,0.0005942,0.0005942
73,2793.15,1.17714,0.65048,1.0933,0.78869,0.45288,0.50513,0.29786,1.1518,0.55376,1.09382,0.0005744,0.0005744,0.0005744
74,2830.27,1.17387,0.6375,1.09722,0.79738,0.45312,0.51128,0.29993,1.13757,0.54553,1.08451,0.0005546,0.0005546,0.0005546
75,2865.46,1.19748,0.64956,1.08642,0.77211,0.46056,0.50894,0.30004,1.14114,0.55278,1.08709,0.0005348,0.0005348,0.0005348
76,2900.33,1.1716,0.63711,1.08695,0.77414,0.45674,0.50831,0.30083,1.13571,0.55511,1.0905,0.000515,0.000515,0.000515
77,2935.88,1.18487,0.65035,1.08501,0.79386,0.45119,0.50649,0.29931,1.12934,0.55059,1.07921,0.0004952,0.0004952,0.0004952
78,2965.78,1.17591,0.63382,1.08273,0.78623,0.45918,0.50716,0.30087,1.1231,0.55164,1.08228,0.0004754,0.0004754,0.0004754
79,3001.55,1.17475,0.64088,1.08981,0.78797,0.45409,0.50581,0.29941,1.12661,0.54849,1.08146,0.0004556,0.0004556,0.0004556
80,3037.27,1.16958,0.63212,1.07917,0.79704,0.45149,0.50645,0.30122,1.13007,0.54611,1.0884,0.0004358,0.0004358,0.0004358
81,3073.27,1.17755,0.64492,1.08,0.79711,0.45312,0.50649,0.30084,1.12693,0.54862,1.08154,0.000416,0.000416,0.000416
82,3101.75,1.18118,0.64382,1.07971,0.78784,0.45625,0.50769,0.3007,1.1234,0.54892,1.083,0.0003962,0.0003962,0.0003962
83,3138.52,1.17173,0.62971,1.09217,0.79408,0.44893,0.50436,0.29998,1.11875,0.54198,1.07972,0.0003764,0.0003764,0.0003764
84,3174.46,1.15626,0.62479,1.07552,0.79435,0.45119,0.50682,0.30045,1.12191,0.54476,1.08136,0.0003566,0.0003566,0.0003566
85,3211.15,1.17417,0.63057,1.07416,0.79751,0.45071,0.507,0.30221,1.12366,0.54452,1.07998,0.0003368,0.0003368,0.0003368
86,3246.81,1.14325,0.61989,1.07492,0.78947,0.45071,0.50443,0.29996,1.12019,0.54232,1.07779,0.000317,0.000317,0.000317
87,3282.9,1.14519,0.61753,1.07645,0.78839,0.45312,0.50725,0.29934,1.13266,0.54585,1.08173,0.0002972,0.0002972,0.0002972
88,3320.03,1.16869,0.62815,1.06764,0.78785,0.45409,0.50781,0.30062,1.12911,0.54608,1.07904,0.0002774,0.0002774,0.0002774
89,3356.69,1.13727,0.6146,1.07482,0.79767,0.44637,0.50547,0.30033,1.12474,0.54504,1.08184,0.0002576,0.0002576,0.0002576
90,3392.92,1.13573,0.61612,1.05973,0.80577,0.44806,0.50871,0.30159,1.12147,0.54245,1.08205,0.0002378,0.0002378,0.0002378
