epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7507,1.19117,0.76656,1.21014,0.80493,0.47385,0.52871,0.30094,1.19655,0.66506,1.20817,0.00332518,0.00332518,0.00332518
2,128.254,1.20942,0.7781,1.22111,0.80309,0.46004,0.51825,0.2983,1.21313,0.6794,1.23385,0.0065926,0.0065926,0.0065926
3,171.756,1.2279,0.80598,1.23449,0.76207,0.46035,0.51207,0.28986,1.23852,0.70232,1.23484,0.00979401,0.00979401,0.00979401
4,213.361,1.25137,0.82325,1.25157,0.7868,0.45457,0.50622,0.278,1.30191,0.74283,1.29458,0.009703,0.009703,0.009703
5,258.457,1.25998,0.83348,1.25615,0.77151,0.45601,0.50179,0.27734,1.27671,0.73321,1.25832,0.009604,0.009604,0.009604
6,301.862,1.25357,0.82729,1.24856,0.80797,0.44348,0.50747,0.29114,1.21696,0.69289,1.22755,0.009505,0.009505,0.009505
7,346.548,1.24744,0.82719,1.2432,0.75575,0.46806,0.51077,0.28901,1.22493,0.70997,1.22919,0.009406,0.009406,0.009406
8,389.101,1.2393,0.81724,1.2376,0.78091,0.46477,0.51925,0.29313,1.24187,0.68025,1.25082,0.009307,0.009307,0.009307
9,433.369,1.22998,0.81256,1.23217,0.76228,0.46991,0.51389,0.29223,1.2534,0.70408,1.24985,0.009208,0.009208,0.009208
10,476.469,1.23135,0.81687,1.23192,0.80275,0.44685,0.50784,0.29437,1.21547,0.68791,1.22654,0.009109,0.009109,0.009109
11,521.548,1.21315,0.79889,1.22891,0.7953,0.46686,0.52105,0.29937,1.21824,0.67466,1.22813,0.00901,0.00901,0.00901
12,563.523,1.22343,0.79846,1.21996,0.77079,0.46686,0.51415,0.2961,1.20091,0.69405,1.21657,0.008911,0.008911,0.008911
13,613.138,1.22407,0.8051,1.22536,0.7889,0.45936,0.5124,0.28847,1.23943,0.70788,1.2315,0.008812,0.008812,0.008812
14,661.221,1.21908,0.79921,1.20996,0.79476,0.46107,0.51381,0.2901,1.24302,0.70806,1.2436,0.008713,0.008713,0.008713
15,705.525,1.19928,0.78967,1.21991,0.77571,0.46614,0.51607,0.29761,1.21899,0.68377,1.23057,0.008614,0.008614,0.008614
16,748.627,1.21216,0.78715,1.21381,0.78301,0.45939,0.51109,0.29617,1.21039,0.68159,1.21512,0.008515,0.008515,0.008515
17,798.226,1.2011,0.7914,1.20342,0.79904,0.45168,0.51214,0.29447,1.21729,0.67882,1.22316,0.008416,0.008416,0.008416
18,842.884,1.20407,0.78305,1.20727,0.80706,0.46397,0.52538,0.3018,1.21607,0.66288,1.2223,0.008317,0.008317,0.008317
19,884.095,1.18092,0.77624,1.20914,0.79754,0.47047,0.52336,0.30459,1.20509,0.65817,1.21182,0.008218,0.008218,0.008218
20,926.355,1.1815,0.77148,1.20674,0.79308,0.46096,0.52029,0.29939,1.21566,0.67408,1.21636,0.008119,0.008119,0.008119
21,968.185,1.17874,0.76985,1.20553,0.7854,0.47457,0.52219,0.29956,1.22846,0.68787,1.21927,0.00802,0.00802,0.00802
22,1014.67,1.18606,0.77541,1.2089,0.78622,0.47361,0.52692,0.29709,1.21856,0.67324,1.21656,0.007921,0.007921,0.007921
23,1058.31,1.19389,0.77396,1.20462,0.78891,0.4671,0.51699,0.29705,1.19793,0.67594,1.21902,0.007822,0.007822,0.007822
24,1101.85,1.17065,0.76064,1.19568,0.7978,0.46324,0.51854,0.30046,1.20011,0.6641,1.20918,0.007723,0.007723,0.007723
25,1155.04,1.17039,0.7602,1.1928,0.80537,0.46973,0.52467,0.30275,1.20333,0.65984,1.2099,0.007624,0.007624,0.007624
26,1200.44,1.18362,0.76666,1.19985,0.81203,0.45336,0.5145,0.29429,1.21202,0.67923,1.22086,0.007525,0.007525,0.007525
27,1249.65,1.18185,0.75994,1.18659,0.78837,0.463,0.51788,0.29523,1.19703,0.67532,1.21546,0.007426,0.007426,0.007426
28,1295.01,1.16893,0.76168,1.19629,0.81532,0.45966,0.52763,0.30676,1.19818,0.64872,1.21126,0.007327,0.007327,0.007327
29,1342.19,1.16772,0.75523,1.18708,0.81925,0.46646,0.52341,0.30069,1.18006,0.65944,1.19782,0.007228,0.007228,0.007228
30,1391.07,1.17001,0.75789,1.1891,0.78717,0.47423,0.52942,0.30771,1.18466,0.63803,1.20317,0.007129,0.007129,0.007129
31,1435.99,1.16269,0.74629,1.18505,0.77684,0.47658,0.52642,0.30049,1.20267,0.66172,1.21146,0.00703,0.00703,0.00703
32,1481.17,1.16455,0.75417,1.18304,0.78727,0.47891,0.53008,0.30519,1.19255,0.65307,1.20941,0.006931,0.006931,0.006931
33,1527.97,1.15146,0.74507,1.17725,0.81278,0.46541,0.52845,0.3062,1.18136,0.64607,1.20111,0.006832,0.006832,0.006832
34,1577.21,1.16292,0.74789,1.17979,0.8067,0.4659,0.52644,0.30401,1.18664,0.64752,1.20012,0.006733,0.006733,0.006733
35,1626.58,1.1499,0.73749,1.17179,0.78516,0.47917,0.53354,0.30765,1.19403,0.66487,1.20561,0.006634,0.006634,0.006634
36,1673.99,1.15342,0.73395,1.17274,0.77864,0.46782,0.52025,0.29856,1.21697,0.63629,1.21238,0.006535,0.006535,0.006535
37,1723.06,1.14319,0.74186,1.17979,0.80159,0.46838,0.52824,0.30553,1.20231,0.65718,1.20491,0.006436,0.006436,0.006436
38,1764.8,1.16379,0.74047,1.17132,0.79899,0.46927,0.52947,0.31152,1.16066,0.63616,1.18464,0.006337,0.006337,0.006337
39,1813.31,1.14782,0.73388,1.17977,0.82371,0.46083,0.52304,0.30682,1.17532,0.6435,1.20108,0.006238,0.006238,0.006238
40,1856.5,1.147,0.73808,1.17057,0.7977,0.47168,0.52907,0.31319,1.17448,0.63665,1.19572,0.006139,0.006139,0.006139
41,1901.74,1.1544,0.73281,1.16721,0.79032,0.47874,0.53048,0.31018,1.16996,0.64687,1.18993,0.00604,0.00604,0.00604
42,1949.23,1.13816,0.72763,1.17323,0.81218,0.47631,0.53649,0.31345,1.17091,0.62245,1.19176,0.005941,0.005941,0.005941
43,1992.75,1.13017,0.72543,1.16825,0.79605,0.47457,0.52806,0.30858,1.19749,0.64581,1.19658,0.005842,0.005842,0.005842
44,2037.42,1.14468,0.73147,1.16233,0.80336,0.48347,0.53761,0.31111,1.1774,0.64586,1.1911,0.005743,0.005743,0.005743
45,2085.59,1.14056,0.72424,1.16844,0.79512,0.48373,0.53433,0.31311,1.16771,0.62699,1.18206,0.005644,0.005644,0.005644
46,2134.29,1.15736,0.73955,1.16465,0.80779,0.47867,0.53231,0.31414,1.16627,0.63839,1.18465,0.005545,0.005545,0.005545
47,2182.47,1.13711,0.72924,1.1592,0.80204,0.47891,0.53979,0.31871,1.15483,0.62668,1.17331,0.005446,0.005446,0.005446
48,2227.25,1.13527,0.72065,1.15901,0.795,0.48036,0.53613,0.31547,1.15992,0.62762,1.17813,0.005347,0.005347,0.005347
49,2275.51,1.13465,0.72243,1.15884,0.79102,0.47578,0.53328,0.31482,1.16752,0.63237,1.18811,0.005248,0.005248,0.005248
50,2324.9,1.14569,0.72734,1.15871,0.80124,0.47578,0.53416,0.31569,1.16131,0.63178,1.18555,0.005149,0.005149,0.005149
51,2372.85,1.14129,0.73064,1.16233,0.79009,0.48277,0.54013,0.31641,1.16596,0.62562,1.18489,0.00505,0.00505,0.00505
52,2417.14,1.12349,0.71322,1.1504,0.79967,0.48662,0.53694,0.31597,1.16137,0.62369,1.18397,0.004951,0.004951,0.004951
53,2463.76,1.14496,0.72229,1.14856,0.80707,0.47987,0.53783,0.31558,1.1599,0.62007,1.17841,0.004852,0.004852,0.004852
54,2513.09,1.13908,0.72094,1.15415,0.82858,0.46975,0.53848,0.31884,1.16413,0.62075,1.17672,0.004753,0.004753,0.004753
55,2559.26,1.12429,0.70186,1.14888,0.80357,0.48036,0.54009,0.31533,1.16974,0.63024,1.18823,0.004654,0.004654,0.004654
56,2604.07,1.11247,0.70536,1.14214,0.8145,0.47305,0.53526,0.31929,1.1578,0.6157,1.17681,0.004555,0.004555,0.004555
57,2648.26,1.11928,0.71328,1.15101,0.816,0.47771,0.53997,0.32052,1.15867,0.61497,1.17425,0.004456,0.004456,0.004456
58,2697.29,1.11353,0.71155,1.15372,0.81783,0.47503,0.53696,0.31622,1.15997,0.61904,1.17621,0.004357,0.004357,0.004357
59,2742.13,1.12056,0.70155,1.14869,0.82223,0.47289,0.53844,0.31964,1.1542,0.6209,1.17192,0.004258,0.004258,0.004258
60,2790.34,1.1176,0.70214,1.14825,0.81476,0.47843,0.53919,0.31881,1.15156,0.61798,1.17221,0.004159,0.004159,0.004159
61,2834.67,1.11314,0.69302,1.1382,0.8147,0.47687,0.53574,0.31778,1.16215,0.61628,1.17831,0.00406,0.00406,0.00406
62,2880.41,1.10756,0.70098,1.13416,0.81631,0.48735,0.54087,0.31954,1.15828,0.61191,1.17161,0.003961,0.003961,0.003961
63,2928.21,1.1225,0.70409,1.14537,0.8162,0.48272,0.54118,0.31983,1.17103,0.61763,1.17713,0.003862,0.003862,0.003862
64,2973.35,1.12715,0.69547,1.13814,0.81679,0.48494,0.54337,0.32172,1.14438,0.60211,1.16433,0.003763,0.003763,0.003763
65,3029.98,1.11636,0.70128,1.13225,0.81873,0.48553,0.54745,0.32331,1.15547,0.60313,1.17359,0.003664,0.003664,0.003664
66,3075.49,1.09337,0.68841,1.1318,0.81058,0.47856,0.53757,0.31895,1.15742,0.61429,1.17106,0.003565,0.003565,0.003565
67,3123.11,1.11539,0.69798,1.13864,0.81808,0.48012,0.54352,0.32158,1.15254,0.61041,1.16168,0.003466,0.003466,0.003466
